"PPLOT","SPLOT","ht_mean","ht_med","ht_dev","dbh_mean","dbh_med","dbh_dev","cod","dom","count","time"
19,1,NA,NA,NA,NA,NA,NA,0,0,0,87
19,1,12.9,12.75,0.982707629823991,18.975,17.85,4.15202188268387,6,2,8,98
19,1,NA,NA,NA,NA,NA,NA,0,0,0,10
19,2,NA,NA,NA,NA,NA,NA,0,0,0,86
19,2,NA,NA,NA,NA,NA,NA,0,0,0,87
19,2,13.1333333333333,13.4,1.22882057274445,19.3666666666667,18.5,4.94545245655036,7,2,9,98
19,2,12.7971428571429,12.91,1.89638001013962,20.6857142857143,19.9,5.57895706245907,7,0,7,10
19,3,NA,NA,NA,NA,NA,NA,0,0,0,86
19,3,10.7,10.7,NA,19.5,19.5,NA,1,0,1,87
19,3,12.6666666666667,12.1,1.6180529157278,17.94,17.8,5.93461997820537,14,1,15,98
19,3,NA,NA,NA,NA,NA,NA,0,0,0,10
19,4,NA,NA,NA,NA,NA,NA,0,0,0,86
19,4,11.0666666666667,11.4,0.665832811847939,19.5,19.5,2.7,3,0,3,87
19,4,13.2571428571429,12.9,1.51091268538494,23.5285714285714,21,7.30061967363371,5,2,7,98
19,4,NA,NA,NA,NA,NA,NA,0,0,0,10
20,1,NA,NA,NA,NA,NA,NA,0,0,0,86
20,1,11.55,11.55,1.62634559672906,21.35,21.35,11.2429978208661,2,0,2,87
20,1,12.95,12.2,2.42631407694882,24.0333333333333,23.75,6.84767600479657,5,1,6,98
20,1,NA,NA,NA,NA,NA,NA,0,0,0,10
20,2,NA,NA,NA,NA,NA,NA,0,0,0,86
20,2,11.3,11.4,1.15325625946708,18.1666666666667,16.5,4.15852537966685,3,0,3,87
20,2,12.8,12.4,1.78450117524322,21.6,20.7,4.59178009539268,7,3,10,98
20,2,NA,NA,NA,NA,NA,NA,0,0,0,10
20,3,NA,NA,NA,NA,NA,NA,0,0,0,86
20,3,10.7,10.7,NA,18.4,18.4,NA,1,0,1,87
